output noise; V**2 / Hz X,output noise; V**2 / Hz Y
45708.81896148711,1.17039579406245e-10
46773.51412871941,1.14777001803731e-10
47863.00923226342,1.125577321810621e-10
48977.88193684419,1.10380805412635e-10
50118.72336272679,1.082452749752149e-10
51286.13839913603,1.061502125728146e-10
52480.74602497679,1.040947077675549e-10
53703.17963702479,1.020778676286615e-10
54954.08738576196,1.000988163936512e-10
56234.1325190344,9.815669513829275e-11
57543.99373371517,9.625066146457869e-11
58884.36553555836,9.437988919881676e-11
60255.95860743523,9.254356810431385e-11
61659.50018614766,9.074090361055477e-11
63095.73444801875,8.897111654988563e-11
64565.42290346495,8.723344291127371e-11
66069.34480075899,8.552713361551044e-11
67608.29753919755,8.385145429075177e-11
69183.09709189301,8.2205685078971e-11
70794.57843841314,8.058912044296178e-11
72443.59600749834,7.900106899976283e-11
74131.02413009107,7.744085336428773e-11
75857.75750291768,7.590781001389611e-11
77624.71166286846,7.440128916125771e-11
79432.82347242742,7.292065465161839e-11
81283.05161640918,7.146528387211606e-11
83176.37711026634,7.003456768292523e-11
85113.80382023688,6.862791035943987e-11
87096.35899560727,6.724472955570031e-11
89125.09381337374,6.588445628464194e-11
91201.08393559014,6.454653491431404e-11
93325.43007969824,6.323042318156818e-11
95499.25860214271,6.193559222535511e-11
97723.72209558016,6.066152663226498e-11
99999.99999999907,5.940772450210625e-11
102329.2992280745,5.817369752539692e-11
104712.854805089,5.695897108295344e-11
107151.9305237596,5.576308435058351e-11
109647.8196143175,5.458559042482643e-11
112201.8454301953,5.342605645672486e-11
114815.3621496872,5.228406379787449e-11
117489.7554939518,5.115920815685404e-11
120226.4434617401,5.005109976124198e-11
123026.877081237,4.895936352656763e-11
125892.5411794155,4.78836392289515e-11
128824.9551693121,4.682358167841076e-11
131825.6738556394,4.577886089007805e-11
134896.2882591641,4.474916225268581e-11
138038.4264602871,4.373418668810862e-11
141253.754462274,4.273365080028132e-11
144543.9770745913,4.174728700944509e-11
147910.8388168192,4.077484366993855e-11
151356.1248436193,3.98160851616065e-11
154881.6618912465,3.887079196046288e-11
158489.3192461097,3.793876067495974e-11
162181.0097358913,3.701980404936057e-11
165958.6907437544,3.611375092576471e-11
169824.3652461727,3.522044616825818e-11
173780.0828749357,3.433975053233618e-11
177827.9410038904,3.347154048940178e-11
181970.0858609964,3.261570799177938e-11
186208.7136662848,3.1772160181322e-11
190546.0717963227,3.094081903480469e-11
194984.4599758025,3.012162094552864e-11
199526.2314968858,2.931451623810411e-11
204173.7944669508,2.851946861391925e-11
208929.6130854017,2.773645452915443e-11
