net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.220874911419192e-05,0.1020101144510159,4.220874911419192e-05,0.1013346233071794,4.220874911419192e-05,1.01264547255588e-05
4.221874911419192e-05,0.1024310701395328,4.221874911419192e-05,0.1017523335497887,4.221874911419192e-05,1.018720213698672e-05
4.222874911419192e-05,0.1028528115573062,4.222874911419192e-05,0.1021711216202599,4.222874911419192e-05,1.02101164162977e-05
4.223874911419191e-05,0.1032753380383489,4.223874911419191e-05,0.1025903856190553,4.223874911419191e-05,1.027101426174837e-05
4.224874911419192e-05,0.103698648915434,4.224874911419192e-05,0.1030107248953101,4.224874911419192e-05,1.029408858119755e-05
4.225874911419192e-05,0.1041227435200958,4.225874911419192e-05,0.1034315399059144,4.225874911419192e-05,1.035513659820898e-05
4.226874911419192e-05,0.1045476211826307,4.226874911419192e-05,0.1038534276336864,4.226874911419192e-05,1.037837067012577e-05
4.227874911419193e-05,0.1049732812320999,4.227874911419193e-05,0.1042757909009556,4.227874911419193e-05,1.043956859537999e-05
4.228874911419192e-05,0.1053997229963267,4.228874911419192e-05,0.1046992243152173,4.228874911419192e-05,1.046296213086149e-05
4.229874911419193e-05,0.1058269458019027,4.229874911419193e-05,0.1051231330732418,4.229874911419193e-05,1.052430970042539e-05
4.230874911419193e-05,0.1062549489741834,4.230874911419193e-05,0.105548109398155,4.230874911419193e-05,1.054786240952472e-05
4.231874911419193e-05,0.1066837318372943,4.231874911419193e-05,0.105973560870299,4.231874911419193e-05,1.060935935747873e-05
4.232874911419193e-05,0.1071132937141287,4.232874911419193e-05,0.1064000773192599,4.232874911419193e-05,1.063307094939768e-05
4.233874911419193e-05,0.1075436339263495,4.233874911419193e-05,0.1068270687181237,4.233874911419193e-05,1.069471700962928e-05
4.234874911419194e-05,0.1079747517943909,4.234874911419194e-05,0.1072551224937579,4.234874911419194e-05,1.071858719203119e-05
4.235874911419194e-05,0.1084066466374588,4.235874911419194e-05,0.1076836510212135,4.235874911419194e-05,1.078038209702121e-05
4.236874911419194e-05,0.1088393177735323,4.236874911419194e-05,0.1081132393153677,4.236874911419194e-05,1.080441057688657e-05
4.237874911419194e-05,0.1092727645193645,4.237874911419194e-05,0.1085433021625615,4.237874911419194e-05,1.086635405799235e-05
4.238874911419194e-05,0.1097069861904846,4.238874911419194e-05,0.1089744221563274,4.238874911419194e-05,1.089054054104062e-05
